x y displacement_x displacement_y
-0.98 -0.98 -4.1694525402983e-05 9.03237116586742e-05
-0.98 -0.94 1.60135958835518e-05 2.77941842880686e-07
-0.98 -0.9 -6.8103841704431e-05 -4.66168856260889e-05
-0.98 -0.86 -4.22808729038515e-05 1.7731186333522e-05
-0.98 -0.82 -0.00012666300287137 -8.55509183506743e-06
-0.98 -0.78 -0.00010064559951493 -5.00052215383611e-05
-0.98 -0.74 -8.58309036449427e-05 5.15694851775187e-05
-0.98 -0.7 -9.0690778171294e-05 -5.84795439767077e-06
-0.98 -0.66 -0.000117094806402519 -3.2401320486837e-05
-0.98 -0.62 -5.1796863913595e-05 0.0001394925699409
-0.98 -0.58 -3.20744118061291e-05 -4.1688445092947e-05
-0.98 -0.54 -9.45326453633435e-05 7.57917500103072e-07
-0.98 -0.5 -8.72895908872326e-05 4.76911577755504e-05
-0.98 -0.46 2.16629751115759e-05 6.81431539003417e-05
-0.98 -0.42 -3.70092526719249e-08 0.000105814021210176
-0.98 -0.38 -0.000174096150708021 -2.64357660738951e-05
-0.98 -0.34 -6.22332350525276e-05 4.43729343322125e-05
-0.98 -0.3 -3.19880596339364e-05 6.68727730153768e-05
-0.98 -0.26 -4.30387266007448e-05 7.53820609153548e-05
-0.98 -0.22 -0.00010316917037886 -2.22426776830223e-05
-0.98 -0.18 2.50497537887626e-05 -7.90462883793487e-05
-0.98 -0.14 -2.48479032314702e-05 7.72773651776078e-05
-0.98 -0.1 9.43961138618616e-05 -0.000126753503113613
-0.98 -0.06 -4.87655648903336e-05 6.78502193399209e-05
-0.98 -0.02 -6.53939994697602e-05 4.83529935196941e-05
-0.98 0.02 6.53939994697603e-05 4.83529935196941e-05
-0.98 0.06 4.87655648903336e-05 6.78502193399209e-05
-0.98 0.1 -9.43961138618616e-05 -0.000126753503113613
-0.98 0.14 2.48479032314702e-05 7.72773651776078e-05
-0.98 0.18 -2.50497537887626e-05 -7.90462883793487e-05
-0.98 0.22 0.00010316917037886 -2.22426776830223e-05
-0.98 0.26 4.30387266007448e-05 7.53820609153548e-05
-0.98 0.3 3.19880596339364e-05 6.68727730153768e-05
-0.98 0.34 6.22332350525276e-05 4.43729343322125e-05
-0.98 0.38 0.000174096150708021 -2.64357660738951e-05
-0.98 0.42 3.70092526719249e-08 0.000105814021210176
-0.98 0.46 -2.16629751115759e-05 6.81431539003417e-05
-0.98 0.5 8.72895908872326e-05 4.76911577755504e-05
-0.98 0.54 9.45326453633435e-05 7.57917500103072e-07
-0.98 0.58 3.20744118061291e-05 -4.1688445092947e-05
-0.98 0.62 5.1796863913595e-05 0.0001394925699409
-0.98 0.66 0.000117094806402519 -3.2401320486837e-05
-0.98 0.7 9.0690778171294e-05 -5.84795439767077e-06
-0.98 0.74 8.58309036449427e-05 5.15694851775187e-05
-0.98 0.78 0.00010064559951493 -5.00052215383611e-05
-0.98 0.82 0.00012666300287137 -8.55509183506743e-06
-0.98 0.86 4.22808729038515e-05 1.7731186333522e-05
-0.98 0.9 6.8103841704431e-05 -4.66168856260889e-05
-0.98 0.94 -1.60135958835518e-05 2.77941842880686e-07
-0.98 0.98 4.1694525402983e-05 9.03237116586742e-05
-0.94 -0.98 -0.000114083510164129 7.93435830707481e-05
-0.94 -0.94 -0.000131398753867167 1.13828092599312e-05
-0.94 -0.9 -5.68593139635076e-05 3.91396787735429e-05
-0.94 -0.86 -0.00010703157693303 -7.09104715079885e-06
-0.94 -0.82 -0.000166635682152181 9.50628929350015e-05
-0.94 -0.78 -2.53043445646471e-05 -3.16466190318602e-05
-0.94 -0.74 -4.11832647723587e-05 9.15296416390587e-05
-0.94 -0.7 -0.0001319435546285 -3.73939151267503e-05
-0.94 -0.66 -5.1768647418914e-05 -0.000183434754639373
-0.94 -0.62 -2.58784458096714e-05 6.48926235362002e-05
-0.94 -0.58 -0.00015008684402408 -1.16012029764649e-05
-0.94 -0.54 -4.8397063724582e-05 7.33352912174807e-05
-0.94 -0.5 -1.3671245731827e-05 2.16062305221706e-05
-0.94 -0.46 -3.28867144299072e-05 -0.000104217452466082
-0.94 -0.42 2.55748726172973e-05 -6.4027834039063e-05
-0.94 -0.38 5.54626386969693e-05 0.000113759375923724
-0.94 -0.34 -5.05810921128856e-05 2.61528107806183e-05
-0.94 -0.3 -0.000193536310696616 6.54518575036366e-06
-0.94 -0.26 -0.000174847547807229 3.24024898352684e-05
-0.94 -0.22 -5.4232028160883e-05 4.06056918077458e-05
-0.94 -0.18 -2.61167161628718e-06 8.550043822935e-05
-0.94 -0.14 -0.000127566591274047 -8.87896731127928e-05
-0.94 -0.1 -9.90920582709578e-05 -6.15144097555735e-05
-0.94 -0.06 1.59277312832054e-05 -6.19060182910854e-06
-0.94 -0.02 4.4117327685495e-05 6.84708584886617e-05
-0.94 0.02 -4.4117327685495e-05 6.84708584886617e-05
-0.94 0.06 -1.59277312832054e-05 -6.19060182910854e-06
-0.94 0.1 9.90920582709578e-05 -6.15144097555735e-05
-0.94 0.14 0.000127566591274047 -8.87896731127928e-05
-0.94 0.18 2.61167161628718e-06 8.550043822935e-05
-0.94 0.22 5.4232028160883e-05 4.06056918077458e-05
-0.94 0.26 0.000174847547807229 3.24024898352684e-05
-0.94 0.3 0.000193536310696616 6.54518575036366e-06
-0.94 0.34 5.05810921128854e-05 2.61528107806184e-05
-0.94 0.38 -5.54626386969693e-05 0.000113759375923724
-0.94 0.42 -2.55748726172973e-05 -6.4027834039063e-05
